train_true,train_probe
0,0.43689075
0,0.44316366
0,0.48465845
0,0.41413322
0,0.4310091
0,0.434408
0,0.47196585
1,0.4181449
1,0.44269854
1,0.43218714
0,0.4622563
1,0.45073056
1,0.43690675
0,0.47460857
0,0.42146596
1,0.44205523
1,0.445674
0,0.4162862
0,0.43641242
0,0.47685847
0,0.42260587
1,0.43389857
1,0.4495209
1,0.4682577
1,0.42293757
1,0.44615567
1,0.4376149
1,0.46879813
1,0.41664827
1,0.4221483
1,0.4309541
1,0.42088693
0,0.43448946
0,0.48721632
1,0.41442612
1,0.4423245
1,0.43349308
1,0.40212688
1,0.42713442
1,0.42939872
0,0.4178093
0,0.4325233
0,0.43414775
0,0.4633828
0,0.42245415
0,0.4373483
0,0.44787887
0,0.46811908
0,0.4210957
1,0.4377159
1,0.44516787
0,0.47066617
0,0.41377872
0,0.43323132
0,0.43255138
0,0.47985306
1,0.41995537
0,0.43310374
0,0.44662908
0,0.48531508
1,0.43031424
1,0.429633
0,0.44822213
0,0.47115523
0,0.42437214
0,0.4296139
0,0.43995768
0,0.4738655
0,0.42713577
0,0.4479176
0,0.46243492
1,0.4171088
1,0.43539593
1,0.4514563
1,0.417519
1,0.43253013
1,0.42870447
1,0.47998205
0,0.4147338
0,0.4385625
0,0.4392671
0,0.4734426
0,0.46911845
1,0.40716
1,0.43647084
1,0.43111548
1,0.42431474
1,0.44686276
1,0.44388652
0,0.42029515
0,0.4388584
0,0.475161
0,0.41837794
1,0.45120022
1,0.42887938
1,0.48429996
0,0.42276704
0,0.4275521
0,0.43573734
0,0.4831407
0,0.47906128
0,0.41312617
0,0.4296759
0,0.4370426
0,0.47695032
1,0.41996917
1,0.43175805
1,0.4403455
1,0.48454228
0,0.41874823
0,0.44369802
0,0.4717774
0,0.4135808
0,0.43594986
0,0.44116622
0,0.46825466
1,0.4294814
0,0.43607122
0,0.43759206
0,0.46242073
0,0.47006622
1,0.41457704
1,0.44335288
1,0.42871407
0,0.41749078
0,0.4291143
0,0.43913496
0,0.48195478
1,0.4190446
1,0.43792257
1,0.43089765
1,0.4247929
1,0.42667136
1,0.44101158
0,0.41297284
0,0.42428198
0,0.4470917
0,0.48152137
1,0.41138119
1,0.44633093
1,0.4332832
1,0.46936548
0,0.4207228
0,0.43397993
0,0.4406311
0,0.4924514
1,0.4149409
1,0.4245797
1,0.43225953
1,0.42785797
1,0.43152547
1,0.4531181
0,0.41854998
0,0.43353766
0,0.4655678
1,0.43592793
1,0.42809623
1,0.45339292
1,0.47114655
0,0.41562542
0,0.42837092
0,0.4283313
0,0.4708436
0,0.42891937
1,0.42748776
1,0.4485691
0,0.43450522
0,0.41808408
0,0.4494101
0,0.4710259
1,0.43051326
1,0.44839004
1,0.42197308
1,0.44062296
1,0.48083737
0,0.41379306
0,0.42596635
0,0.43484467
1,0.47756878
1,0.42720914
